Starttid;Sluttid;Övning;Vikt;Reps;Anteckningar;Kcal;Distans;Tid;Kategori;Namn;Kroppsvikt
2022-11-07 11:47;2022-11-07 12:29;"Incline Bench Press 30’";65;9;"Blev typ 3rir igen, glömde öka till 2rir/+1 (första set)";;;;Chest;"Lunch 1";82.85
2022-11-07 11:47;2022-11-07 12:29;"Incline Bench Press 30’";65;8;"Över steg 8";;;;Chest;"Lunch 1";82.85
2022-11-07 11:47;2022-11-07 12:29;"Incline Bench Press 30’";65;7;"";;;;Chest;"Lunch 1";82.85
2022-11-07 11:47;2022-11-07 12:29;"Pull Up";0;12;"+1";;;;Back;"Lunch 1";82.85
2022-11-07 11:47;2022-11-07 12:29;"Pull Up";0;9;"";;;;Back;"Lunch 1";82.85
2022-11-07 11:47;2022-11-07 12:29;"Pull Up";0;7;"";;;;Back;"Lunch 1";82.85
2022-11-07 11:47;2022-11-07 12:29;"Dips";0;15;"2rir";;;;Triceps;"Lunch 1";82.85
2022-11-07 11:47;2022-11-07 12:29;"Dips";0;10;"";;;;Triceps;"Lunch 1";82.85
2022-11-07 11:47;2022-11-07 12:29;"Dips";0;8;"";;;;Triceps;"Lunch 1";82.85
2022-11-07 11:47;2022-11-07 12:29;"Startrac Biceps Curl";27;13;"";;;;Biceps;"Lunch 1";82.85
2022-11-07 11:47;2022-11-07 12:29;"Startrac Biceps Curl";27;8;"Maskinen är dåligt oljad lr ngt, blir extra seg i ""toppen""";;;;Biceps;"Lunch 1";82.85
2022-11-07 11:47;2022-11-07 12:29;"Startrac Biceps Curl";27;8;"";;;;Biceps;"Lunch 1";82.85
2022-11-05 13:18;2022-11-05 13:59;"SLDL";112.5;8;"3rir";;;;Hamstrings;"Lunch 6";82.75
2022-11-05 13:18;2022-11-05 13:59;"SLDL";112.5;6;"";;;;Hamstrings;"Lunch 6";82.75
2022-11-05 13:18;2022-11-05 13:59;"Incline Curls";11;13;"3rir";;;;Biceps;"Lunch 6";82.75
2022-11-05 13:18;2022-11-05 13:59;"Incline Curls";11;9;"";;;;Biceps;"Lunch 6";82.75
2022-11-05 13:18;2022-11-05 13:59;"Incline Curls";11;8;"";;;;Biceps;"Lunch 6";82.75
2022-11-05 13:18;2022-11-05 13:59;"Seated Leg Curl";40;16;"3rir";;;;Hamstrings;"Lunch 6";82.75
2022-11-05 13:18;2022-11-05 13:59;"Technogym Leg Extension";55;20;"3rir";;;;Quads & Glutes;"Lunch 6";82.75
2022-11-05 13:18;2022-11-05 13:59;"Technogym Leg Extension";55;16;"Steg 3";;;;Quads & Glutes;"Lunch 6";82.75
2022-11-05 13:18;2022-11-05 13:59;"Technogym Leg Extension";55;13;"";;;;Quads & Glutes;"Lunch 6";82.75
2022-11-04 16:15;2022-11-04 16:59;"DB Press";32.5;8;"";;;;Chest;"Lunch 5";82.4
2022-11-04 16:15;2022-11-04 16:59;"DB Press";32.5;8;"Eleiko-hantlar";;;;Chest;"Lunch 5";82.4
2022-11-04 16:15;2022-11-04 16:59;"DB Press";32.5;7;"";;;;Chest;"Lunch 5";82.4
2022-11-04 16:15;2022-11-04 16:59;"Pushdowns";25;12;"";;;;Triceps;"Lunch 5";82.4
2022-11-04 16:15;2022-11-04 16:59;"Pushdowns";25;9;"NW drottning ";;;;Triceps;"Lunch 5";82.4
2022-11-04 16:15;2022-11-04 16:59;"Pushdowns";25;8;"";;;;Triceps;"Lunch 5";82.4
2022-11-04 16:15;2022-11-04 16:59;"Plate Loaded Row";100;9;"3rir";;;;Back;"Lunch 5";82.4
2022-11-04 16:15;2022-11-04 16:59;"Plate Loaded Row";100;7;"Steg 5 set 2+3";;;;Back;"Lunch 5";82.4
2022-11-04 16:15;2022-11-04 16:59;"Plate Loaded Row";80;10;"";;;;Back;"Lunch 5";82.4
2022-11-04 16:15;2022-11-04 16:59;"Lateral Dumbbell Raise";7;17;"3rir";;;;Delts;"Lunch 5";82.4
2022-11-04 16:15;2022-11-04 16:59;"Lateral Dumbbell Raise";7;13;"";;;;Delts;"Lunch 5";82.4
2022-11-04 16:15;2022-11-04 16:59;"Lateral Dumbbell Raise";7;11;"";;;;Delts;"Lunch 5";82.4
2022-11-03 12:09;2022-11-03 12:50;"Cybex Leg Press";150;12;"3rir";;;;Quads & Glutes;"Lunch 4";82.4
2022-11-03 12:09;2022-11-03 12:50;"Cybex Leg Press";150;9;"Räkna som 30kg";;;;Quads & Glutes;"Lunch 4";82.4
2022-11-03 12:09;2022-11-03 12:50;"Cybex Leg Press";150;8;"";;;;Quads & Glutes;"Lunch 4";82.4
2022-11-03 12:09;2022-11-03 12:50;"Lat Pulldown";62;13;"3rir";;;;Back;"Lunch 4";82.4
2022-11-03 12:09;2022-11-03 12:50;"Lat Pulldown";62;8;"5 stora";;;;Back;"Lunch 4";82.4
2022-11-03 12:09;2022-11-03 12:50;"Lat Pulldown";62;7;"";;;;Back;"Lunch 4";82.4
2022-11-03 12:09;2022-11-03 12:50;"DB Curl";15;9;"3rir";;;;Biceps;"Lunch 4";82.4
2022-11-03 12:09;2022-11-03 12:50;"DB Curl";15;6;"";;;;Biceps;"Lunch 4";82.4
2022-11-03 12:09;2022-11-03 12:50;"DB Curl";12.5;6;"";;;;Biceps;"Lunch 4";82.4
2022-11-03 12:09;2022-11-03 12:50;"Straight Arm Pushdown";36;18;"Långa böjda stången, 3rir";;;;Back;"Lunch 4";82.4
2022-11-03 12:09;2022-11-03 12:50;"Straight Arm Pushdown";43;12;"Cybex";;;;Back;"Lunch 4";82.4
2022-11-02 12:23;2022-11-02 13:03;"Barbell Row";65;9;"3rir";;;;Back;"Lunch 3";
2022-11-02 12:23;2022-11-02 13:03;"Barbell Row";65;7;"";;;;Back;"Lunch 3";
2022-11-02 12:23;2022-11-02 13:03;"Barbell Row";65;6;"";;;;Back;"Lunch 3";
2022-11-02 12:23;2022-11-02 13:03;"Cybex Incline Press";58.5;13;"3rir";;;;Chest;"Lunch 3";
2022-11-02 12:23;2022-11-02 13:03;"Cybex Incline Press";58.5;9;"Maxa både ryggstod och säte";;;;Chest;"Lunch 3";
2022-11-02 12:23;2022-11-02 13:03;"Cybex Incline Press";58.5;8;"";;;;Chest;"Lunch 3";
2022-11-02 12:23;2022-11-02 13:03;"Cybex Machine Fly";31.5;9;"";;;;Chest;"Lunch 3";
2022-11-02 12:23;2022-11-02 13:03;"Cybex Machine Fly";31.5;8;"Mellan steg 2-3, tar mer i höger";;;;Chest;"Lunch 3";
2022-11-02 12:23;2022-11-02 13:03;"Cybex Machine Fly";31.5;7;"Steg 4 handtagen";;;;Chest;"Lunch 3";
2022-11-02 12:23;2022-11-02 13:03;"Cybex Tricep Extension";31.5;15;"3rir";;;;Triceps;"Lunch 3";
2022-11-02 12:23;2022-11-02 13:03;"Cybex Tricep Extension";31.5;12;"Stol: 2, rygg: 3";;;;Triceps;"Lunch 3";
2022-11-02 12:23;2022-11-02 13:03;"Cybex Tricep Extension";31.5;10;"";;;;Triceps;"Lunch 3";
2022-11-01 13:55;2022-11-01 14:44;"Smith Split Squat (Starttrac)";35.5;11;"";;;;Quads & Glutes;"Lunch 2";82.55
2022-11-01 13:55;2022-11-01 14:44;"Smith Split Squat (Starttrac)";35.5;10;"Höger först, stången = 5,5kg (fruängen)";;;;Quads & Glutes;"Lunch 2";82.55
2022-11-01 13:55;2022-11-01 14:44;"Smith Split Squat (Starttrac)";35.5;8;"";;;;Quads & Glutes;"Lunch 2";82.55
2022-11-01 13:55;2022-11-01 14:44;"Startrac Seated Leg Curl";40;17;"";;;;Hamstrings;"Lunch 2";82.55
2022-11-01 13:55;2022-11-01 14:44;"Startrac Seated Leg Curl";40;14;"";;;;Hamstrings;"Lunch 2";82.55
2022-11-01 13:55;2022-11-01 14:44;"Startrac Seated Leg Curl";40;13;"";;;;Hamstrings;"Lunch 2";82.55
2022-11-01 13:55;2022-11-01 14:44;"Seated DB Press";20;10;"3rir";;;;Delts;"Lunch 2";82.55
2022-11-01 13:55;2022-11-01 14:44;"Seated DB Press";20;9;"Military upptagen";;;;Delts;"Lunch 2";82.55
2022-11-01 13:55;2022-11-01 14:44;"Seated DB Press";20;8;"";;;;Delts;"Lunch 2";82.55
2022-11-01 13:55;2022-11-01 14:44;"Lateral Dumbbell Raise";7;14;"3rir";;;;Delts;"Lunch 2";82.55
2022-11-01 13:55;2022-11-01 14:44;"Lateral Dumbbell Raise";7;13;"Direkt efter axelpress";;;;Delts;"Lunch 2";82.55
2022-11-01 13:55;2022-11-01 14:44;"Lateral Dumbbell Raise";7;11;"";;;;Delts;"Lunch 2";82.55
2022-10-31 20:12;2022-10-31 20:55;"DB Press";32.5;8;"3rir";;;;Chest;"Lunch 1 w1/4";
2022-10-31 20:12;2022-10-31 20:55;"DB Press";32.5;8;"Eleiko-hantlar";;;;Chest;"Lunch 1 w1/4";
2022-10-31 20:12;2022-10-31 20:55;"DB Press";32.5;7;"Finns ingen incline på drottning typ";;;;Chest;"Lunch 1 w1/4";
2022-10-31 20:12;2022-10-31 20:55;"Pull Up";0;11;"";;;;Back;"Lunch 1 w1/4";
